Name	Last	Chg. % 1DChg. Abs.	DateTime	ISIN	BidVolume	AskVolume	Maturity	Status
OMV 3,75% Anleihe 24-36/S.21	100.700	0.00%0.000	11/24/202517:30:34	XS2886118236	--	--	09/04/2036	D
HypoVbg 0,36% IHS 20-26/S.182	97.800	0.00%0.000	11/24/202517:00:49	XS2100387526	--	--	01/09/2026	D
HVbg 0,23% Notes 21-29/S.219	90.050	-0.06%-0.050	11/24/202517:00:49	XS2327980509	--	--	04/06/2029	D
HVbg 0,375% Notes 20-30/S.212	86.250	-0.06%-0.050	11/24/202517:00:49	XS2252219105	--	--	11/04/2030	D
HVbg var SV 19-29/S.175	97.850	0.00%0.000	11/24/202517:00:49	XS2037749749	--	--	08/07/2029	D
HVbg 0,741% Anl.19-36/S.178	72.450	-0.07%-0.050	11/24/202517:00:49	XS2066563524	--	--	10/16/2036	D
HVbg 0,86% Anl. 19-34/S.179	78.650	-0.06%-0.050	11/24/202517:00:49	XS2069329964	--	--	10/24/2034	D
HVbg 1,02% SV 20-35/DIP S183	77.950	-0.13%-0.100	11/24/202517:00:49	XS2104132514	--	--	01/17/2035	D
HVbg Fix/Swap-li-FRN 18-28/159	95.900	0.00%0.000	11/24/202517:00:48	XS1877653581	--	--	09/13/2028	D
HVbg Fix/Swap-li-FRN 18-28/158	95.350	-0.05%-0.050	11/24/202517:00:48	XS1859330752	--	--	07/24/2028	D
HVbg 2,62% Anl.25-30/S.300	98.750	0.00%0.000	11/24/202517:00:48	AT0000A3PQ47	--	--	01/10/2030	D
HWBB 3,15% WB-WA 25-35/6  VBG	99.250	-0.10%-0.100	11/24/202517:00:48	AT0000A3HRE5	--	--	02/19/2035	D
HVbg fix/swap Rate Notes 01-31	100.550	-0.10%-0.100	11/24/202517:00:48	XS0132540955	--	--	07/11/2031	D
HVbg 2,60% Anl.25-28/S.290	99.700	+0.05%+0.050	11/24/202517:00:48	AT0000A3K8W6	99.700-	100.700-	03/24/2028	D
HVbg Fix/Swap-li-FRN 18-28/163	95.650	0.00%0.000	11/24/202517:00:48	XS1915000753	--	--	11/27/2028	D
HWBB 3,15% WB-WA 25-35/12 Vbg	98.750	-0.10%-0.100	11/24/202517:00:48	AT0000A3MRG0	--	--	07/16/2035	D
Hypo Vbg. 3% Anl.25-30/S.288	100.050	-0.05%-0.050	11/24/202517:00:48	AT0000A3HN16	--	--	01/21/2030	D
HVbg CMS Floater25-33/S.293	96.550	-0.05%-0.050	11/24/202517:00:48	AT0000A3L7J4	--	--	04/25/2033	D
HVbg Fix/Swap-li-FRN 18-28/161	96.150	0.00%0.000	11/24/202517:00:48	XS1892228401	--	--	10/11/2028	D
